Name,Author,User Rating,Reviews,Price,Year,Genre,Gender
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,4,2017,Fiction,Company
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2009,Non Fiction,Male
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2010,Non Fiction,Male
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Fiction,Female
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2013,Fiction,Female
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2014,Fiction,Female
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2015,Fiction,Female
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2016,Fiction,Female
To Kill a Mockingbird,Harper Lee,4.8,26234,7,2019,Fiction,Female
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,9,2011,Non Fiction,Female
What Happened,Hillary Rodham Clinton,4.6,5492,18,2017,Non Fiction,Female
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,Non Fiction,Company
Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,Non Fiction,Male
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,2013,Non Fiction,Male
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Non Fiction,Female
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,Non Fiction,Female
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction,Female
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Non Fiction,Male
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Non Fiction,Male
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fiction,Female
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,Fiction,Female
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fiction,Female
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fiction,Female
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,12,2016,Fiction,Female
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fiction,Female
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fiction,Female
The Casual Vacancy,J.K. Rowling,3.3,9372,12,2012,Fiction,Female
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction,Male
The Maze Runner (Book 1),James Dashner,4.5,10101,8,2014,Fiction,Male
"I, Alex Cross",James Patterson,4.6,1320,7,2009,Fiction,Male
The President Is Missing: A Novel,James Patterson,4.3,10191,18,2018,Fiction,Male
Thirteen Reasons Why,Jay Asher,4.5,7932,9,2017,Fiction,Male
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,Female
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Fiction,Male
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction,Male
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction,Male
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction,Male
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,Fiction,Male
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Fiction,Male
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Fiction,Male
The Getaway,Jeff Kinney,4.8,5836,0,2017,Fiction,Male
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,5898,8,2018,Fiction,Male
